service_category,name,address,city_town,province_territory,postal_code,phone_1,phone_2,phone_3,website,coverage_area,hours_call,hours_sms,hours_chat,description,latitude,longitude
Crisis Lines: National,988 Suicide Crisis Helpline,,National,Ontario,,988,,,https://988.ca,Canada-wide,24/7,24/7,24/7,National 24/7 suicide and crisis line.,45.4215,-75.6972
Crisis Lines: Local,Toronto Distress Centre,700 Lawrence Ave W,Toronto,Ontario,M6A 1B2,416-408-4357,,,https://torontodistresscentre.com,Greater Toronto Area,24/7,,,Local crisis and distress line serving the GTA.,43.7182,-79.4225
Crisis Lines: Provincial/Territorial,BC Crisis Line Network,1200 Burrard St,Vancouver,British Columbia,V6Z 2C7,1-800-784-2433,,,https://crisiscentre.bc.ca,British Columbia,24/7,,Mo-Su 09:00-21:00,Provincial crisis line network for BC.,49.2827,-123.1207
Mobile Crisis Teams,Calgary Mobile Response Team,Suite 200 - 105 12 Ave SE,Calgary,Alberta,T2G 1A1,403-266-1605,,,https://calgarymobilecrisis.ca,Calgary Metro,08:00-24:00,,,In-person mobile crisis response team.,51.0447,-114.0719
811 and Health Information,HealthLink Manitoba,300 Carlton St,Winnipeg,Manitoba,R3B 3M9,811,,,https://healthlinkmb.ca,Manitoba,24/7,,,Provincial 811 health information line.,49.8951,-97.1384
Child Protection Services,Quebec Child Protection Line,2050 Rue de Bleury,Montreal,Quebec,H3A 2J5,514-935-1101,1-800-361-5310,,https://cpsquebec.ca,Quebec,24/7,,,Child protection intake and reporting line.,45.5017,-73.5673
Crisis Lines: International,International Crisis Line,,International,Ontario,,1-800-273-8255,,,https://internationalcrisisline.org,International,24/7,,,English/French international crisis support.,43.6532,-79.3832
Poison Control,Ontario Poison Centre,555 University Ave,Toronto,Ontario,M5G 1X8,1-800-268-9017,,,https://ontariopoisoncentre.ca,Ontario,24/7,,,Provincial poison control and information centre.,43.6577,-79.3877
211 and Other Resource Databases,Nova Scotia 211,,Halifax,Nova Scotia,B3J 3N2,211,,,https://ns211.ca,Nova Scotia,Mo-Fr 08:00-21:00,,,Community and social services referral line.,44.6488,-63.5752
Crisis Lines: Local,Saskatoon Mobile Crisis,455 2nd Ave N,Saskatoon,Saskatchewan,S7K 2C3,306-933-6200,,,https://saskatoonmobilecrisis.ca,Saskatoon and area,24/7,,,Local crisis line and walk-in service.,52.1332,-106.6700
Crisis Lines: Provincial/Territorial,New Brunswick Crisis Line,,Fredericton,New Brunswick,E3B 1A1,1-800-667-5005,,,https://nbcrisisline.ca,New Brunswick,24/7,,,Bilingual provincial crisis line.,45.9636,-66.6431
Crisis Lines: National,Kids Help Phone,439 University Ave,Toronto,Ontario,M5G 1Y8,1-800-668-6868,686868,,https://kidshelpphone.ca,Canada-wide,24/7,24/7,24/7,National support line for youth.,43.6555,-79.3843
811 and Health Information,Newfoundland HealthLine,,St. John's,Newfoundland and Labrador,A1B 4J6,811,,,https://nlhealthline.ca,Newfoundland and Labrador,24/7,,,Provincial health information line.,47.5615,-52.7126
Crisis Lines: Local,PEI Island Helpline,,Charlottetown,Prince Edward Island,C1A 7N8,1-800-218-2885,,,https://peihelpline.ca,Prince Edward Island,24/7,,,Local crisis and distress line for PEI.,46.2382,-63.1311
Mobile Crisis Teams,Yukon Mobile Crisis Unit,,Whitehorse,Yukon,Y1A 2B5,867-456-3838,,,https://yukoncrisis.ca,Yukon,08:00-24:00,,,Territorial mobile crisis response.,60.7212,-135.0568
Crisis Lines: National,NWT Help Line - BAD POSTAL,,Yellowknife,Northwest Territories,12345,867-873-4144,,,https://nwthelpline.ca,Northwest Territories,24/7,,,Deliberately invalid postal_code for import-validation testing.,62.4540,-114.3718
Crisis Lines: National,Nunavut Kamatsiaqtut - BAD LAT,,Iqaluit,Nunavut,X0A 0H0,1-800-265-3333,,,https://nunavuthelpline.ca,Nunavut,18:00-24:00,,,Deliberately out-of-range latitude for import-validation testing.,999,-68.5170
