service_category,name,address,city_town,province_territory,postal_code,phone_1,phone_2,phone_3,website,coverage_area,hours_call,hours_sms,hours_chat,description,latitude,longitude
211 and Other Resource Databases,St. John's Crisis Intervention Team,2242 Water St,St. John's,Newfoundland and Labrador,T9L 0H6,1 (866) 585-0445,,,https://crisisinterventionteam29.ca,St. John's,24/7,,,Trained volunteers offer emotional support and connect callers with community resources.,47.6445,-52.4669
811 and Health Information,Moncton Mental Health Line,1560 King St W,Moncton,New Brunswick,M9P 9J1,211,1-800-668-6868,1-833-456-4566,https://mentalhealthline71.ca,New Brunswick,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",45.9839,-65.0106
Child Protection Services,Regina Crisis Services,1012 Portage Ave,Regina,Saskatchewan,R4Y 3N0,1-833-456-4566,1 (866) 585-0445,,https://crisisservices60.ca,Saskatchewan,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",50.5696,-104.7024
Crisis Lines: Local,Moncton Community Helpline,,Moncton,New Brunswick,,,,,https://communityhelpline96.ca,Canada-wide,,,,,46.4858,-64.7706
811 and Health Information,Hamilton Distress Centre,,Hamilton,Ontario,,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,,https://distresscentre21.ca,Canada-wide,,,,,43.2983,-79.5172
Crisis Lines: Local,Vancouver Mental Health Line,1403 King St W,Vancouver,British Columbia,S2T 0L8,911,,,https://mentalhealthline38.ca,Vancouver,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",49.3142,-122.8978
Crisis Lines: National,St. John's Distress Centre,468 Barrington St,St. John's,Newfoundland and Labrador,K0K 9C1,1-866-925-4419,604-872-3311,,https://distresscentre40.ca,Various communities across Canada,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Information and referral service connecting residents to social, health, and government programs.",47.5,-52.9432
Crisis Lines: Local,Whitehorse Hope Network,1539 Queen St E,Whitehorse,Yukon,T1K 3C5,211,,,https://hopenetwork67.ca,Various communities across Canada,24/7,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",61.0455,-134.7691
Crisis Lines: International,Hamilton Mental Health Line,1998 Granville St,Hamilton,Ontario,G9V 3V6,1-833-456-4566,,,https://mentalhealthline70.ca,Hamilton,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",24/7,24/7,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",43.1778,-79.9997
Crisis Lines: International,Vancouver Hope Network,,Vancouver,British Columbia,,911,,,https://hopenetwork58.ca,Various communities across Canada,24/7,,,"Information and referral service connecting residents to social, health, and government programs.",49.5515,-122.7455
Crisis Lines: Provincial/Territorial,Winnipeg Community Helpline,885 Water St,Winnipeg,Manitoba,H6A 6L7,1-800-668-6868,,604-872-3311,https://communityhelpline8.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",49.9584,-97.1046
211 and Other Resource Databases,Montreal Distress Centre,2069 Broadway Ave,Montreal,Quebec,H0X 1H1,416-408-4357,,988,,Quebec,,,,,45.5974,-73.632
Poison Control,Yellowknife Crisis Intervention Team,1078 Granville St,Yellowknife,Northwest Territories,N3L 6G4,1-866-925-4419,,,https://crisisinterventionteam86.ca,Northwest Territories,24/7,,24/7,"Information and referral service connecting residents to social, health, and government programs.",62.2245,-114.5596
